,match_date,home_team,away_team,home_team_avg_home_goals,home_team_avg_total_goals,away_team_avg_away_goals,away_team_avg_total_goals,home_team_form_score,away_team_form_score,odds_home_team,odds_away_team,odds_draw
145,2024-05-25,Osasuna,Villarreal,1.0,1.2,1.6,1.7,-0.5,2.5,60.0,42.0,1.04
146,2024-05-25,Las Palmas,Alaves,1.1,0.9,0.7,0.9,-2.5,1.5,2.66,3.05,3.45
147,2024-05-25,Getafe,Mallorca,1.1,1.1,0.8,0.8,-3.0,0.0,2.4,3.5,3.4
148,2024-05-25,Celta Vigo,Valencia,1.1,1.2,1.0,1.0,1.5,-3.5,2.04,4.3,3.65
149,2024-05-19,Villarreal,Real Madrid,1.8,1.7,1.9,2.3,2.0,4.5,3.2,2.24,4.0
150,2024-05-12,Atletico Madrid,Celta Vigo,2.4,1.9,1.4,1.2,1.5,1.0,1.44,8.6,5.2
151,2024-05-11,Villarreal,Sevilla,1.7,1.6,1.1,1.3,1.0,2.5,2.02,3.95,4.0
152,2024-05-11,Mallorca,Las Palmas,0.8,0.8,0.8,0.9,-2.0,-4.5,1.75,7.2,3.55
153,2024-05-11,Athletic Bilbao,Osasuna,2.2,1.6,1.2,1.1,0.0,-3.5,1.46,9.6,4.8
154,2024-05-10,Alaves,Girona,1.2,0.9,1.6,2.1,1.5,2.5,3.5,2.24,3.75
155,2024-05-05,Valencia,Alaves,1.2,1.1,0.7,0.9,-1.0,0.5,2.28,4.1,3.2
156,2024-05-05,Osasuna,Betis,1.1,1.1,1.1,1.2,-3.5,0.5,3.5,2.44,3.35
157,2024-05-05,Celta Vigo,Villarreal,0.9,1.1,1.6,1.6,-1.0,2.5,2.6,2.86,3.75
158,2024-05-04,Real Sociedad,Las Palmas,1.4,1.4,0.8,0.9,0.5,-4.5,1.37,12.5,5.3
159,2024-05-04,Mallorca,Atletico Madrid,0.9,0.8,1.4,1.9,-2.0,0.5,4.2,2.22,3.2
160,2024-05-04,Girona,Barcelona,2.6,2.1,1.9,2.1,1.5,2.5,2.88,2.5,3.95
161,2024-05-03,Getafe,Athletic Bilbao,1.2,1.2,0.9,1.6,0.5,-0.5,4.1,2.2,3.35
162,2024-04-28,Betis,Sevilla,1.4,1.3,1.1,1.3,-0.5,3.0,2.1,4.2,3.5
